"No.","Time","Source","Destination","Protocol","Length","Info"
"19","0.876393","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=4165 Ack=312 Win=64128 Len=1388"
"20","0.876462","10.0.19.14","188.166.154.118","TCP","66","62179  >  80 [ACK] Seq=312 Ack=5553 Win=131840 Len=0 SLE=13881 SRE=19433"
"21","1.066211","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=8329 Ack=312 Win=64128 Len=1388"
"22","1.066336","10.0.19.14","188.166.154.118","TCP","74","[TCP Dup ACK 20#1] 62179  >  80 [ACK] Seq=312 Ack=5553 Win=131840 Len=0 SLE=8329 SRE=9717 SLE=13881 SRE=19433"
"23","1.254133","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=5553 Ack=312 Win=64128 Len=1388"
"24","1.254198","10.0.19.14","188.166.154.118","TCP","74","62179  >  80 [ACK] Seq=312 Ack=6941 Win=131840 Len=0 SLE=8329 SRE=9717 SLE=13881 SRE=19433"
"25","2.002083","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=6941 Ack=312 Win=64128 Len=1388"
"26","2.002158","10.0.19.14","188.166.154.118","TCP","66","62179  >  80 [ACK] Seq=312 Ack=9717 Win=131840 Len=0 SLE=13881 SRE=19433"
"27","2.183849","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=9717 Ack=312 Win=64128 Len=1388"
"28","2.183962","10.0.19.14","188.166.154.118","TCP","66","62179  >  80 [ACK] Seq=312 Ack=11105 Win=131840 Len=0 SLE=13881 SRE=19433"
"29","2.186961","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=11105 Ack=312 Win=64128 Len=1388"
"30","2.187030","10.0.19.14","188.166.154.118","TCP","66","62179  >  80 [ACK] Seq=312 Ack=12493 Win=131840 Len=0 SLE=13881 SRE=19433"
"31","2.379247","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=12493 Ack=312 Win=64128 Len=1388"
"32","2.379335","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=19433 Win=131840 Len=0"
"33","2.381961","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=19433 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"34","2.385172","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=20821 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"35","2.385281","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=22209 Win=131840 Len=0"
"36","2.388372","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=22209 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"37","2.439843","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=23597 Win=131840 Len=0"
"38","2.564084","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=23597 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"39","2.566988","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=24985 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"40","2.567098","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=26373 Win=131840 Len=0"
"41","2.570497","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=26373 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"42","2.573699","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=27761 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"43","2.573762","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=29149 Win=131840 Len=0"
"44","2.622959","188.166.154.118","10.0.19.14","TCP","1442","[TCP Previous segment not captured] 80  >  62179 [ACK] Seq=31925 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"45","2.623036","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 43#1] 62179  >  80 [ACK] Seq=312 Ack=29149 Win=131840 Len=0 SLE=31925 SRE=33313"
"46","2.632931","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=33313 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"47","2.633001","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 43#2] 62179  >  80 [ACK] Seq=312 Ack=29149 Win=131840 Len=0 SLE=31925 SRE=34701"
"48","2.753707","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=34701 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"49","2.753826","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=36089 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"50","2.753826","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 43#3] 62179  >  80 [ACK] Seq=312 Ack=29149 Win=131840 Len=0 SLE=31925 SRE=36089"
"51","2.753867","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 43#4] 62179  >  80 [ACK] Seq=312 Ack=29149 Win=131840 Len=0 SLE=31925 SRE=37477"
"52","2.756879","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=37477 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"53","2.756948","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 43#5] 62179  >  80 [ACK] Seq=312 Ack=29149 Win=131840 Len=0 SLE=31925 SRE=38865"
"54","2.760077","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=38865 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"55","2.760150","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 43#6] 62179  >  80 [ACK] Seq=312 Ack=29149 Win=131840 Len=0 SLE=31925 SRE=40253"
"56","2.948926","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=30537 Ack=312 Win=64128 Len=1388"
"57","2.949000","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 43#7] 62179  >  80 [ACK] Seq=312 Ack=29149 Win=131840 Len=0 SLE=30537 SRE=40253"
"58","3.133667","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=29149 Ack=312 Win=64128 Len=1388"
"59","3.133807","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=40253 Win=131840 Len=0"
"60","3.331013","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=40253 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"61","3.331084","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=41641 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"62","3.331180","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=43029 Win=131840 Len=0"
"63","3.520992","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=43029 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"64","3.521061","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=44417 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"65","3.521225","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=45805 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"66","3.521225","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=45805 Win=131840 Len=0"
"67","3.564505","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=47193 Win=131840 Len=0"
"68","3.708876","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=47193 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"69","3.711949","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=48581 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"70","3.712017","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=49969 Win=131840 Len=0"
"71","3.761698","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=49969 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"72","3.764860","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=51357 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"73","3.764992","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=52745 Win=131840 Len=0"
"74","3.894008","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=52745 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"75","3.896936","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=54133 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"76","3.896999","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=55521 Win=131840 Len=0"
"77","4.086699","188.166.154.118","10.0.19.14","TCP","1442","[TCP Previous segment not captured] 80  >  62179 [ACK] Seq=58297 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"78","4.086817","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=59685 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"79","4.086817","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 76#1] 62179  >  80 [ACK] Seq=312 Ack=55521 Win=131840 Len=0 SLE=58297 SRE=59685"
"80","4.086850","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 76#2] 62179  >  80 [ACK] Seq=312 Ack=55521 Win=131840 Len=0 SLE=58297 SRE=61073"
"81","4.272767","188.166.154.118","10.0.19.14","TCP","1442","[TCP Retransmission] 80  >  62179 [ACK] Seq=55521 Ack=312 Win=64128 Len=1388"
"82","4.272843","10.0.19.14","188.166.154.118","TCP","66","62179  >  80 [ACK] Seq=312 Ack=56909 Win=131840 Len=0 SLE=58297 SRE=61073"
"83","4.452953","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=61073 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"84","4.453074","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 82#1] 62179  >  80 [ACK] Seq=312 Ack=56909 Win=131840 Len=0 SLE=58297 SRE=62461"
"85","4.635963","188.166.154.118","10.0.19.14","TCP","1442","[TCP Out-Of-Order] 80  >  62179 [ACK] Seq=56909 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"86","4.636131","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=62461 Win=131840 Len=0"
"87","4.812111","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=62461 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"88","4.815123","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=63849 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"89","4.815200","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=65237 Win=131840 Len=0"
"90","4.992623","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=65237 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"91","4.996512","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=66625 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"92","4.996574","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=68013 Win=131840 Len=0"
"93","4.999710","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=68013 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"94","5.048437","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=69401 Win=131840 Len=0"
"95","5.181604","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=69401 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"96","5.184774","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=70789 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"97","5.184885","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=72177 Win=131840 Len=0"
"98","5.234530","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=72177 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"99","5.234603","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=73565 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"100","5.234706","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=74953 Win=131840 Len=0"
"101","5.351668","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=74953 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"102","5.354770","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=76341 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"103","5.354880","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=77729 Win=131840 Len=0"
"104","5.403517","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=77729 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"105","5.406651","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=79117 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"106","5.406761","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=80505 Win=131840 Len=0"
"107","5.520468","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=80505 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"108","5.520539","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=81893 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"109","5.520731","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=83281 Win=131840 Len=0"
"110","5.579692","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=83281 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"111","5.582789","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=84669 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"112","5.582853","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=86057 Win=131840 Len=0"
"113","5.685619","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=86057 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"114","5.688745","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=87445 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"115","5.688824","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=88833 Win=131840 Len=0"
"116","5.747802","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=88833 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"117","5.751238","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=90221 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"118","5.751314","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=91609 Win=131840 Len=0"
"119","5.880853","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=91609 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"120","5.883726","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=92997 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"121","5.883790","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=94385 Win=131840 Len=0"
"122","5.925993","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=94385 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"123","5.929140","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=95773 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"124","5.929209","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=97161 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"125","5.929209","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=97161 Win=131840 Len=0"
"126","5.970031","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=98549 Win=131840 Len=0"
"127","6.063557","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=98549 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"128","6.066671","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=99937 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"129","6.066783","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=101325 Win=131840 Len=0"
"130","6.113538","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=101325 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"131","6.157480","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=102713 Win=131840 Len=0"
"132","6.180489","188.166.154.118","10.0.19.14","TCP","1442","[TCP Previous segment not captured] 80  >  62179 [ACK] Seq=104101 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"133","6.180561","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 131#1] 62179  >  80 [ACK] Seq=312 Ack=102713 Win=131840 Len=0 SLE=104101 SRE=105489"
"134","6.245549","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=105489 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"135","6.245628","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 131#2] 62179  >  80 [ACK] Seq=312 Ack=102713 Win=131840 Len=0 SLE=104101 SRE=106877"
"136","6.248735","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=106877 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"137","6.248806","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 131#3] 62179  >  80 [ACK] Seq=312 Ack=102713 Win=131840 Len=0 SLE=104101 SRE=108265"
"138","6.329504","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=108265 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"139","6.329577","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 131#4] 62179  >  80 [ACK] Seq=312 Ack=102713 Win=131840 Len=0 SLE=104101 SRE=109653"
"140","6.347525","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=109653 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"141","6.347642","10.0.19.14","188.166.154.118","TCP","66","[TCP Dup ACK 131#5] 62179  >  80 [ACK] Seq=312 Ack=102713 Win=131840 Len=0 SLE=104101 SRE=111041"
"142","6.357365","188.166.154.118","10.0.19.14","TCP","1442","[TCP Fast Retransmission] 80  >  62179 [ACK] Seq=102713 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"143","6.357449","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=111041 Win=131840 Len=0"
"144","6.414541","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=111041 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"145","6.469884","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=112429 Win=131840 Len=0"
"146","6.515746","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=112429 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"147","6.519164","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=113817 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"148","6.519317","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=115205 Win=131840 Len=0"
"149","6.645001","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=115205 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"150","6.688560","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=116593 Win=131840 Len=0"
"151","6.695406","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=116593 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"152","6.698672","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=117981 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"153","6.698734","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=119369 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"154","6.698734","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=119369 Win=131840 Len=0"
"155","6.751044","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=120757 Win=131840 Len=0"
"156","6.852395","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=120757 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"157","6.855683","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=122145 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"158","6.855801","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=123533 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"159","6.855801","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=123533 Win=131840 Len=0"
"160","6.907245","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=124921 Win=131840 Len=0"
"161","6.912374","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=124921 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"162","6.912492","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=126309 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"163","6.912524","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=127697 Win=131840 Len=0"
"164","7.032474","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=127697 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"165","7.032545","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=129085 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"166","7.032646","10.0.19.14","188.166.154.118","TCP","60","62179  >  80 [ACK] Seq=312 Ack=130473 Win=131840 Len=0"
"167","7.081506","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=130473 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"168","7.091350","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=131861 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
"169","7.091421","188.166.154.118","10.0.19.14","TCP","1442","80  >  62179 [ACK] Seq=133249 Ack=312 Win=64128 Len=1388 [TCP segment of a reassembled PDU]"
